AirQualityStation,source,num_valid_measurements,mean_2018_2020_valid,unit
STA.CZ_JKOS,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_JKOS.csv,22909,3.936829192629098,µg/m3
STA.CZ_JJIH,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_JJIH.csv,22722,12.39639996361632,µg/m3
STA.CZ_HPLO,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_HPLO.csv,16145,4.70672653881759,µg/m3
STA.CZ_HHKB,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_HHKB.csv,23080,18.771026861791594,µg/m3
STA.CZ_EPAO,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_EPAO.csv,23131,14.211089013558428,µg/m3
STA.CZ_EMTP,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_EMTP.csv,23559,15.683823590643064,µg/m3
STA.CZ_CTAB,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_CTAB.csv,22946,17.233626774704085,µg/m3
STA.CZ_CPRA,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_CPRA.csv,22943,10.31145883152029,µg/m3
STA.CZ_CCHU,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_CCHU.csv,18430,2.5150081380314706,µg/m3
STA.CZ_CCBD,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_CCBD.csv,22525,13.475658156383576,µg/m3
STA.CZ_BZNO,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_BZNO.csv,23469,13.00959137469854,µg/m3
STA.CZ_BMIS,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_BMIS.csv,22846,7.16644489068152,µg/m3
STA.CZ_BBNY,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_BBNY.csv,22684,14.002627401347205,µg/m3
STA.CZ_BBNV,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_BBNV.csv,23544,37.81856523820379,µg/m3
STA.CZ_MJES,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_MJES.csv,21995,5.2840554658035925,µg/m3
STA.CZ_MLOS,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_MLOS.csv,8804,12.054611538313267,µg/m3
STA.CZ_MOLJ,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_MOLJ.csv,23489,19.86566903533995,µg/m3
STA.CZ_PKUJ,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_PKUJ.csv,23273,9.117659948108967,µg/m3
STA.CZ_UULK,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_UULK.csv,23323,11.503880288597093,µg/m3
STA.CZ_UULD,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_UULD.csv,23511,31.08982603755816,µg/m3
STA.CZ_UTUS,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_UTUS.csv,23144,11.264461630302455,µg/m3
STA.CZ_USNZ,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_USNZ.csv,21587,8.396595171701023,µg/m3
STA.CZ_UMOM,/media/data/eea/europe_2020/NO2_2018_2020_STA.CZ_UMOM.csv,23451,19.68771480839282,µg/m3
